time_utc,event,book,strategy,symbol,side,lots,price,sl,tp,confidence,profit_usd,reason
2026-07-12T22:19:20.300690+00:00,OPEN,v_indices,donchtrend,US100,buy,0.1,29656.4,27877.016,44484.600000000006,33.0,,20-bar high breakout (trend)
2026-07-12T22:19:20.906806+00:00,OPEN,v_indices,donchtrend,US500,buy,0.1,7549.8,7096.905999999999,11324.849999999999,33.0,,20-bar high breakout (trend)
2026-07-12T23:34:06.128561+00:00,OPEN,v_indices,donchtrend,US100,buy,0.1,29669.9,28774.43907567358,31013.091386489636,33.0,,20-bar high breakout (trend)
2026-07-13T09:00:44.354275+00:00,OPEN,v_indices,keltner,GER40,buy,0.1,25136.0,24633.28,25890.08,33.0,,Keltner lower-band bounce
2026-07-13T14:37:14.409390+00:00,OPEN,v_forex,s_zscore,NZDUSD,sell,0.01,0.57719,0.5887236,0.5598646,33.0,,z-score > +2 (overextended)
2026-07-13T14:41:20.012611+00:00,OPEN,v_softs,shortkelt,CORN,sell,2.0,4.5071,4.5972420000000005,4.371887,33.0,,rejected from the upper Keltner band (short)
2026-07-13T14:41:20.295184+00:00,OPEN,v_forex,s_zscore,EURCHF,sell,0.01,0.92587,0.9443772,0.8980842,53.0,,z-score > +2 (overextended)
2026-07-13T14:41:20.633080+00:00,OPEN,v_indices,s_zscore,FRA40,sell,0.1,8348.9,8516.184000000001,8098.724,33.0,,z-score > +2 (overextended)
2026-07-13T19:00:36.224522+00:00,CLOSE,v_indices,s_zscore,FRA40,,,,,,,2.95,z back to mean
2026-07-13T19:01:33.470772+00:00,OPEN,v_forex,zscore,CHFJPY,buy,0.01,199.45,195.46002000000001,205.43247000000002,53.0,,z-score < -2 (2 std-devs below mean)
2026-07-14T01:00:15.773749+00:00,CLOSE,v_softs,shortkelt,CORN,,,,,,,14.44,back to Keltner mid — cover
2026-07-14T01:00:44.342716+00:00,OPEN,v_forex,s_rsidiv,NZDUSD,sell,0.01,0.5777,0.5891724,0.5602914,33.0,,bearish RSI divergence
2026-07-14T02:15:06.124915+00:00,CLOSE,v_forex,s_zscore,EURCHF,,,,,,,-1.55,z back to mean
2026-07-14T02:30:11.416950+00:00,OPEN,v_forex,s_rsidiv,EURGBP,sell,0.01,0.85283,0.8698866,0.8272451,33.0,,bearish RSI divergence
2026-07-14T05:30:01.500851+00:00,CLOSE,v_forex,s_rsidiv,EURGBP,,,,,,,0.37,RSI < 40
2026-07-14T05:30:07.399023+00:00,OPEN,v_crypto,shortwill,BTCUSD,sell,0.02,62801.11,64057.6014,60917.522899999996,80.0,,Williams %R extreme overbought (short)
2026-07-14T08:03:01.819461+00:00,CLOSE,v_crypto,shortwill,BTCUSD,,,,,,,6.5,Williams %R oversold — cover
2026-07-14T08:15:57.636675+00:00,OPEN,v_forex,s_cci,EURGBP,sell,0.01,0.85319,0.8702538,0.8275943,33.0,,CCI > +150 (extreme overbought)
2026-07-14T09:15:51.667208+00:00,CLOSE,v_forex,s_cci,EURGBP,,,,,,,1.19,CCI < -100
2026-07-14T10:45:30.046949+00:00,OPEN,v_crypto,shortwill,BTCUSD,sell,0.01,62720.32,63974.7468,60838.729799999994,60.0,,Williams %R extreme overbought (short)
2026-07-14T10:45:30.549389+00:00,OPEN,v_crypto,s_stoch,BTCUSD,sell,0.01,62720.38,63974.7672,60838.7492,60.0,,stochastic overbought (>80)
2026-07-14T12:33:43.758921+00:00,CLOSE,v_forex,zscore,CHFJPY,,,,,,,4.85,z-score back to mean
2026-07-14T12:40:21.778720+00:00,OPEN,v_softs,s_rsidiv,WHEAT,sell,1.0,635.7,648.4140000000001,616.629,60.0,,bearish RSI divergence
2026-07-14T12:40:21.957313+00:00,OPEN,v_crypto,s_cci,BTCUSD,sell,0.01,63358.99,64617.3366,61449.8201,60.0,,CCI > +150 (extreme overbought)
2026-07-14T12:40:22.281803+00:00,OPEN,v_forex,williams,EURCAD,buy,0.01,1.61017,1.5779763999999998,1.6504344999999998,53.0,,Williams %R deep oversold
2026-07-14T14:07:10.994583+00:00,OPEN,v_softs,s_rsidiv,WHEAT,sell,4.0,642.6,655.2479999999999,623.1279999999999,60.0,,bearish RSI divergence
2026-07-14T14:07:11.095656+00:00,OPEN,v_metals,bbsqueeze,XAUUSD,buy,0.01,4077.38,3975.4942499999997,4260.914349999999,48.5,,squeeze -> upper-band breakout
2026-07-14T14:07:11.537039+00:00,OPEN,v_forex,stoch,USDCAD,buy,0.02,1.4058,1.3776938,1.4409552499999998,13.0,,stochastic oversold
2026-07-14T14:07:11.908443+00:00,OPEN,v_indices,bbsqueeze,US30,buy,0.1,52683.0,51365.924999999996,55053.73499999999,33.0,,squeeze -> upper-band breakout
2026-07-14T14:07:12.106726+00:00,OPEN,v_forex,stoch,USDNOK,buy,0.02,9.65761,9.4644578,9.899050249999998,13.0,,stochastic oversold
2026-07-14T14:07:12.522736+00:00,OPEN,v_indices,s_zscore,FRA40,sell,0.2,8359.9,8527.098,8109.102999999999,13.0,,z-score > +2 (overextended)
2026-07-14T14:07:12.704588+00:00,OPEN,v_forex,donchtrend,CHFJPY,buy,0.04,200.78,198.7722,203.7917,33.0,,20-bar high breakout (trend)
2026-07-14T14:07:13.240591+00:00,OPEN,v_forex,shortkelt,EURGBP,sell,0.02,0.85359,0.8706617999999999,0.8279823,53.0,,rejected from the upper Keltner band (short)
2026-07-14T14:07:13.722290+00:00,OPEN,v_forex,s_stoch,EURGBP,sell,0.02,0.85359,0.8706617999999999,0.8279823,33.0,,stochastic overbought (>80)
2026-07-14T14:08:13.554550+00:00,CLOSE,v_indices,bbsqueeze,US30,,,,,,,-1.8,back below the mean
2026-07-14T14:15:09.577211+00:00,OPEN,v_crypto,s_stoch,BTCUSD,sell,0.04,63756.51,65049.6126,61860.90609999999,60.0,,stochastic overbought (>80)
2026-07-14T14:40:23.193610+00:00,OPEN,v_forex,s_rsidiv,AUDUSD,sell,0.03,0.69859,0.7125821999999999,0.6776517,13.0,,bearish RSI divergence
2026-07-14T15:00:32.527982+00:00,OPEN,v_indices,s_zscore,AUS200,sell,0.4,8857.7,9034.854000000001,8591.969000000001,33.0,,z-score > +2 (overextended)
2026-07-14T16:17:07.410037+00:00,OPEN,v_crypto,s_stoch,BTCUSD,sell,0.04,64658.47,65953.0878,62720.0933,60.0,,stochastic overbought (>80)
2026-07-14T17:00:13.440758+00:00,CLOSE,v_metals,bbsqueeze,XAUUSD,,,,,,,-15.8,back below the mean
2026-07-14T18:15:52.104839+00:00,CLOSE,v_forex,shortkelt,EURGBP,,,,,,,-0.35,back to Keltner mid — cover
2026-07-14T19:58:28.110741+00:00,OPEN,v_forex,s_rsidiv,NZDUSD,sell,0.04,0.5808,0.5924159999999999,0.563376,33.0,,bearish RSI divergence
